Student1,https://classroom.example.com/student1
Student2,https://classroom.example.com/student2
Student3,https://classroom.example.com/student3
LessonPlan_Wk1,https://drive.google.com/lesson1
LessonPlan_Wk2,https://drive.google.com/lesson2
Homework_Ch1,https://assignments.school.edu/chapter1
Homework_Ch2,https://assignments.school.edu/chapter2
Lab_Safety,https://safety.school.edu/automotive-lab
Equipment_Checkout,https://inventory.school.edu/checkout
Parent_Portal,https://portal.school.edu/login
